"claim","quote"
"Ethereum R1 will launch directly as a Stage 2 rollup, featuring permissionless proving and minimized trust assumptions from day one","What is Ethereum R1? Fully donation-funded — no token, no private sales. Just ETH contributions from the public.  Stage 2 from day one — permissionless proving, long upgrade delay period with a huge set of multisig with broad representation across the Ethereum ecosystem.  Ethereum public good — Proportion of base fees go to R&D and app dev until 2030 — then they’re burned.  Replaceable by design — no proprietary governance, no branding lock-in, no cult of personality. This is a rollup that belongs to Ethereum, not to a foundation, not to insiders, not to us."
"The attacker’s wallet linked to the Cetus Protocol exploit remains active and is reportedly attempting to obfuscate the movement of the stolen crypto assets.","The wallet remains active at the time of publishing and is likely in the process of obfuscating funds."
"The attacker’s wallet linked to the Cetus Protocol exploit remains active and is reportedly attempting to obfuscate the movement of the stolen crypto assets.","The hacker is converting the stolen funds into USDC and cross-chaining to Ethereum, causing widespread panic"
"The Pump.fun mobile app is not available to US users due to legal challenges. In February 2025, lawsuits alleging intellectual property infringement and securities violations prompted US restrictions","Pump.fun has faced legal troubles in the United States as well. Two law firms in the U.S. sued the platform over intellectual property infringement, and another case against Pump.fun alleges the platform violates securities laws"
"Eric Trump publicly denied holding an executive position or formal role at Tron Inc., following reports linking him to the blockchain firm’s US expansion via its reverse merger with SRM Entertainment","Eric Trump has come out to dismiss claims he held the executive job at the new Tron Inc after the reverse merger bid of TRON and SRM entertainment. The rejection comes after early news indicates that the Trump family member was to be part of the blockchain firm in its American expansion."
"Eric Trump publicly denied holding an executive position or formal role at Tron Inc., following reports linking him to the blockchain firm’s US expansion via its reverse merger with SRM Entertainment","@tier10k I’m the biggest fan of Tron and love @justinsuntron - he is a great friend and an icon in the crypto space. That said the below is inaccurate - I don’t have public involvement."
"The Department of Financial Services identified 8,359 accounts tied to a Russian criminal network, after finding that bad actors exploited Block’s weak Know Your Customer protocols in 2022","The investigation also uncovered that bad actors exploited weak Know Your Customer practices, including 8,359 accounts linked to a Russian criminal network in 2022."
"The Grayscale Dogecoin Trust is a closed-end fund that tracks Dogecoin’s price, currently limited to accredited investors, with the potential for broader access","The trust, which is designed to track dogecoin's market price, is now available for subscriptions to eligible individual and institutional accredited investors."
"The Grayscale Dogecoin Trust is a closed-end fund that tracks Dogecoin’s price, currently limited to accredited investors, with the potential for broader access","The Grayscale Dogecoin Trust is a closed-end fund that is only open to accredited investors, meaning people and institutions with a certain level of wealth. This fund is entirely invested in Dogecoin. So in short, the trust gives investors a way to be a part of Dogecoin’s growth without needing to buy the coin themselves."
"The Grayscale Dogecoin Trust is a closed-end fund that tracks Dogecoin’s price, currently limited to accredited investors, with the potential for broader access","Asset manager Grayscale launched a Dogecoin Trust early Friday morning, offering institutional and accredited investors the opportunity to allocate to crypto’s original meme coin."
